PRIVATE  FLATTED  FACTORIES  -  RENTAL  AND  PRICE  INDICES [MONTHLY],,,,
Month,Rents,Rents - Remarks,Prices,Prices - Remarks
01-1993,138.8,,192.4,
02-1993,140,,193,
03-1993,141.5,,196.9,
04-1993,145,,206.1,
05-1993,147.9,,217.9,
06-1993,146.3,,212.4,
07-1993,148.7,,213.8,
08-1993,148,,212.9,
09-1993,146.7,,213.3,
10-1993,145.2,,215.5,
11-1993,144.6,,219.8,
12-1993,144.2,,223.5,
01-1994,142.9,,228.4,
02-1994,146.3,,226.5,
03-1994,149.4,,227.3,
04-1994,146.4,,230,
05-1994,149.5,,223,
06-1994,149.3,,218,
07-1994,150.7,,216.3,
08-1994,151.3,,213.6,
09-1994,152.6,,219.4,
10-1994,152.3,,229.6,
11-1994,150.8,,231.2,
12-1994,152.4,,221.1,
01-1995,149.7,,225.2,
02-1995,149.2,,218.6,
03-1995,148.9,,214.7,
04-1995,150,,204.2,
05-1995,148.7,,208.5,
06-1995,150.6,,205.9,
07-1995,148,,188.8,
08-1995,147.2,,183.1,
09-1995,146.8,,192.4,
10-1995,142.6,,182.6,
11-1995,141.1,,180.9,
12-1995,139.7,,180,
01-1996,137.7,,174.8,
02-1996,136.6,,179.2,
03-1996,137.6,,183.6,
04-1996,133.4,,171,
05-1996,131.2,,171,
06-1996,133.9,,176.3,
07-1996,128.7,,168.4,
08-1996,128.5,,165.7,
09-1996,129.3,,163,
10-1996,129.3,,169.4,
11-1996,131.6,,166.5,
12-1996,131.4,,168.2,
01-1997,132.3,,165.3,
02-1997,134.1,,168.9,
03-1997,134.6,,186.4,
04-1997,132.1,,169.7,
05-1997,132.7,,176,
06-1997,132.9,,173.1,
07-1997,134,,171.5,
08-1997,132.7,,166.8,
09-1997,130.1,,168.2,
10-1997,130.8,,166.9,
11-1997,132.3,,158.2,
12-1997,131.9,,155.6,
01-1998,129.5,,161.4,
02-1998,129.2,,137.4,
03-1998,125.4,,142.4,
04-1998,123,,144.7,
05-1998,122.3,,137.8,
06-1998,119.8,,136.7,
07-1998,115.8,,130.8,
08-1998,113.5,,124.6,
09-1998,111.5,,127.9,
10-1998,108.5,,113.6,
11-1998,107.5,,114.6,
12-1998,110.6,,109.5,
01-1999,106.4,,110,
02-1999,104.3,,107.4,
03-1999,102.6,,104.4,
04-1999,100.8,,98.3,
05-1999,100.3,,97.7,
06-1999,99.1,,101.4,
07-1999,99.1,,98.9,
08-1999,96.3,,98.6,
09-1999,96.4,,97.2,
10-1999,98.1,,93.8,
11-1999,98.9,,95.4,
12-1999,97.8,,96.8,
01-2000,96.1,,96.6,
02-2000,96.8,,94.6,
03-2000,95.9,,93.7,
04-2000,97.2,,92.6,
05-2000,94.5,,92.5,
06-2000,94.6,,90,
07-2000,94.1,,89.1,
08-2000,93.6,,90.6,
09-2000,94.7,,90.4,
10-2000,95.1,,89.6,
11-2000,95,,87.7,
12-2000,97.3,,87.4,
01-2001,97.1,,84.5,
02-2001,93.2,,84.5,
03-2001,91.1,,84.2,
04-2001,92.9,,83.7,
05-2001,91.2,,83,
06-2001,90.4,,82.8,
07-2001,88.6,,82.9,
08-2001,88.7,,83.7,
09-2001,88.1,,81.8,
10-2001,87.9,,78.6,
11-2001,87.4,,78.1,
12-2001,86.9,,76.5,
01-2002,86.3,,75.7,
02-2002,85.2,,75.1,
03-2002,84.9,,75.3,
